path,filename,label,extension,width,height,aspect_ratio,mode,format,file_size_kb,is_readable,error,file_hash,pixel_hash
e:\HK4\Sta_ML\DO_ÂNNANANANNA\deepfake-detection\data\raw\Fake faces\fake_0.png,fake_0.png,fake faces,.png,256,256,1.0,RGB,PNG,89.06,True,,aa504464c7958d2d8275d36b55f0a3e7,04ac91b58a87a4c0e39a4ebe0f394a4a
e:\HK4\Sta_ML\DO_ÂNNANANANNA\deepfake-detection\data\raw\Fake faces\fake_1.png,fake_1.png,fake faces,.png,256,256,1.0,RGB,PNG,105.29,True,,362c02b7b0306027b14d6e3a7366c920,eb53a275e596379cd39cccc9e07a1142
e:\HK4\Sta_ML\DO_ÂNNANANANNA\deepfake-detection\data\raw\Fake faces\fake_10.png,fake_10.png,fake faces,.png,256,256,1.0,RGB,PNG,107.1,True,,736a9c4648d126d066345f8a24d5f66b,ca9d974df8e058357f36acad6ee13204
e:\HK4\Sta_ML\DO_ÂNNANANANNA\deepfake-detection\data\raw\Fake faces\fake_100.png,fake_100.png,fake faces,.png,256,256,1.0,RGB,PNG,113.75,True,,8976de0af98c1f26b00ed2cc201307db,a083a941201e40b7fef0957dbc542709
e:\HK4\Sta_ML\DO_ÂNNANANANNA\deepfake-detection\data\raw\Fake faces\fake_1000.png,fake_1000.png,fake faces,.png,256,256,1.0,RGB,PNG,95.17,True,,21ba2702625a590bce036a53ea470d86,e4e16a93525bfe3270a31710e4d1be58
e:\HK4\Sta_ML\DO_ÂNNANANANNA\deepfake-detection\data\raw\Fake faces\fake_1001.png,fake_1001.png,fake faces,.png,256,256,1.0,RGB,PNG,97.61,True,,a2d6925cdc0f520eeb019f2959ff2db1,944fd51911822ea65d724c0b76ba3a5e
e:\HK4\Sta_ML\DO_ÂNNANANANNA\deepfake-detection\data\raw\Fake faces\fake_1002.png,fake_1002.png,fake faces,.png,256,256,1.0,RGB,PNG,103.5,True,,adff1face0679f9eb8c81074b544f48e,000ae2a8fda00061a9116e3e8d41fa09
e:\HK4\Sta_ML\DO_ÂNNANANANNA\deepfake-detection\data\raw\Fake faces\fake_1003.png,fake_1003.png,fake faces,.png,256,256,1.0,RGB,PNG,115.27,True,,e2c7cfc341422121922164074e189d39,036be29f18d57e53a7a9fd52d66192aa
e:\HK4\Sta_ML\DO_ÂNNANANANNA\deepfake-detection\data\raw\Fake faces\fake_1004.png,fake_1004.png,fake faces,.png,256,256,1.0,RGB,PNG,99.82,True,,5328887d5de3c1484ca6af1c82cffe6e,fb569293d5013c4fb8f54e09f278c0b6
e:\HK4\Sta_ML\DO_ÂNNANANANNA\deepfake-detection\data\raw\Fake faces\fake_1005.png,fake_1005.png,fake faces,.png,256,256,1.0,RGB,PNG,104.04,True,,764be720b1dc04b066ffe89d5f54ed4d,992226fd01821453fd2861d004949eb0
e:\HK4\Sta_ML\DO_ÂNNANANANNA\deepfake-detection\data\raw\Fake faces\fake_1006.png,fake_1006.png,fake faces,.png,256,256,1.0,RGB,PNG,100.81,True,,a4eccf1d0fb82d1830a270b4cfa41fa6,b1e714577b9e93a7ab22b11decf28629
